x,y,z,t_mean_c,t_std_c,n_obs,material,solar_absorptance,u_value_w_m2k,plausible,flag_reason
1.9000000000000001,3.3000000000000003,-0.1,36.337,0.0,1,painted_metal,0.65,7.3472,1,
2.1,3.3000000000000003,-0.1,36.168,0.599,101,painted_metal,0.65,7.1513,1,
2.1,3.5,-0.1,35.967,0.388,65,painted_metal,0.65,6.9183,1,
3.7,0.9,-0.30000000000000004,35.217,0.174,8,rubber,0.9,6.0487,1,
3.7,1.1,-0.30000000000000004,35.661,0.088,3,rubber,0.9,6.5635,1,
3.7,1.1,-0.1,35.555,0.0,1,rubber,0.9,6.4406,1,
3.7,1.3,-0.30000000000000004,35.611,0.114,9,rubber,0.9,6.5055,1,
3.7,1.3,-0.1,35.42,0.144,4,rubber,0.9,6.2841,1,
3.9000000000000004,-0.9,-0.30000000000000004,35.106,0.505,70,rubber,0.9,5.92,1,
3.9000000000000004,-0.9,-0.1,35.074,0.351,345,rubber,0.9,5.8829,1,
3.9000000000000004,-0.7000000000000001,-0.30000000000000004,35.286,0.508,167,rubber,0.9,6.1287,1,
3.9000000000000004,-0.7000000000000001,-0.1,35.102,0.367,353,rubber,0.9,5.9154,1,
3.9000000000000004,-0.7000000000000001,0.30000000000000004,35.517,0.407,3,painted_metal,0.65,6.3965,1,
3.9000000000000004,-0.7000000000000001,0.5,35.718,0.514,2,painted_metal,0.65,6.6296,1,
3.9000000000000004,-0.7000000000000001,0.7000000000000001,36.217,0.524,5,painted_metal,0.65,7.2081,1,
3.9000000000000004,-0.5,-0.30000000000000004,35.514,0.355,56,rubber,0.9,6.393,1,
3.9000000000000004,-0.30000000000000004,-0.30000000000000004,35.179,0.426,33,rubber,0.9,6.0046,1,
3.9000000000000004,-0.1,-0.30000000000000004,35.987,0.335,27,rubber,0.9,6.9414,1,
3.9000000000000004,0.1,-0.30000000000000004,35.704,0.473,35,rubber,0.9,6.6133,1,
3.9000000000000004,0.30000000000000004,-0.30000000000000004,34.927,0.383,42,rubber,0.9,5.7125,1,
3.9000000000000004,0.5,-0.30000000000000004,35.324,0.293,39,rubber,0.9,6.1728,1,
3.9000000000000004,0.7000000000000001,-0.30000000000000004,35.293,0.325,80,rubber,0.9,6.1368,1,
3.9000000000000004,0.9,-0.30000000000000004,35.147,0.31,115,rubber,0.9,5.9675,1,
3.9000000000000004,1.1,-0.30000000000000004,35.34,0.354,131,rubber,0.9,6.1913,1,
3.9000000000000004,1.1,-0.1,35.532,0.267,14,rubber,0.9,6.4139,1,
3.9000000000000004,1.3,-0.30000000000000004,35.439,0.39,34,rubber,0.9,6.3061,1,
3.9000000000000004,1.3,-0.1,35.517,0.35,34,rubber,0.9,6.3965,1,
4.1000000000000005,-0.7000000000000001,-0.30000000000000004,35.013,0.406,250,rubber,0.9,5.8122,1,
4.1000000000000005,-0.7000000000000001,-0.1,34.983,0.383,508,rubber,0.9,5.7774,1,
4.1000000000000005,-0.7000000000000001,0.1,34.685,0.337,4,painted_metal,0.65,5.4319,1,
4.1000000000000005,-0.7000000000000001,0.30000000000000004,35.336,0.283,6,painted_metal,0.65,6.1867,1,
4.1000000000000005,-0.7000000000000001,0.5,35.79,0.456,4,painted_metal,0.65,6.713,1,
4.1000000000000005,-0.7000000000000001,0.7000000000000001,36.177,0.586,19,painted_metal,0.65,7.1617,1,
4.1000000000000005,-0.5,-0.30000000000000004,35.276,0.291,219,rubber,0.9,6.1171,1,
4.1000000000000005,-0.30000000000000004,-0.30000000000000004,35.115,0.452,194,rubber,0.9,5.9304,1,
4.1000000000000005,-0.1,-0.30000000000000004,35.752,0.519,158,rubber,0.9,6.669,1,
4.1000000000000005,0.1,-0.30000000000000004,35.781,0.386,129,rubber,0.9,6.7026,1,
4.1000000000000005,0.30000000000000004,-0.30000000000000004,35.054,0.387,141,rubber,0.9,5.8597,1,
4.1000000000000005,0.5,-0.30000000000000004,35.138,0.279,173,rubber,0.9,5.9571,1,
4.1000000000000005,0.7000000000000001,-0.30000000000000004,35.18,0.305,183,rubber,0.9,6.0058,1,
4.1000000000000005,0.9,-0.30000000000000004,35.206,0.287,207,rubber,0.9,6.0359,1,
4.1000000000000005,0.9,-0.1,35.252,0.025,3,rubber,0.9,6.0893,1,
4.1000000000000005,1.1,-0.30000000000000004,35.103,0.181,219,rubber,0.9,5.9165,1,
4.1000000000000005,1.1,-0.1,35.237,0.147,27,rubber,0.9,6.0719,1,
4.1000000000000005,1.3,-0.30000000000000004,35.316,0.378,25,rubber,0.9,6.1635,1,
4.1000000000000005,1.3,-0.1,35.252,0.201,51,rubber,0.9,6.0893,1,
4.1000000000000005,1.5,-0.30000000000000004,35.746,0.248,4,rubber,0.9,6.662,1,
4.1000000000000005,1.5,-0.1,35.437,0.309,6,rubber,0.9,6.3038,1,
4.1000000000000005,1.5,0.7000000000000001,36.594,0.392,6,paint,0.6,7.6452,1,
4.3,-0.7000000000000001,-0.30000000000000004,35.032,0.451,205,rubber,0.9,5.8342,1,
4.3,-0.7000000000000001,-0.1,35.031,0.391,587,rubber,0.9,5.833,1,
4.3,-0.7000000000000001,0.1,34.719,0.306,72,painted_metal,0.65,5.4713,1,
4.3,-0.7000000000000001,0.30000000000000004,34.994,0.211,57,painted_metal,0.65,5.7901,1,
4.3,-0.7000000000000001,0.5,35.402,0.291,59,painted_metal,0.65,6.2632,1,
4.3,-0.7000000000000001,0.7000000000000001,35.889,0.493,97,painted_metal,0.65,6.8278,1,
4.3,-0.5,-0.30000000000000004,35.229,0.287,176,rubber,0.9,6.0626,1,
4.3,-0.30000000000000004,-0.30000000000000004,34.972,0.301,204,rubber,0.9,5.7646,1,
4.3,-0.1,-0.30000000000000004,35.65,0.442,189,rubber,0.9,6.5507,1,
4.3,0.1,-0.30000000000000004,35.871,0.258,197,rubber,0.9,6.807,1,
4.3,0.30000000000000004,-0.30000000000000004,35.294,0.383,180,rubber,0.9,6.138,1,
4.3,0.5,-0.30000000000000004,34.996,0.215,170,rubber,0.9,5.7925,1,
4.3,0.7000000000000001,-0.30000000000000004,35.06,0.213,187,rubber,0.9,5.8667,1,
4.3,0.9,-0.30000000000000004,35.058,0.168,193,rubber,0.9,5.8643,1,
4.3,1.1,-0.30000000000000004,35.079,0.252,151,rubber,0.9,5.8887,1,
4.3,1.1,-0.1,35.512,0.41,16,rubber,0.9,6.3907,1,
4.3,1.3,-0.30000000000000004,35.328,0.382,87,rubber,0.9,6.1774,1,
4.3,1.3,-0.1,35.811,0.356,18,rubber,0.9,6.7374,1,
4.3,1.5,-0.30000000000000004,35.604,0.292,18,rubber,0.9,6.4974,1,
4.3,1.5,-0.1,35.683,0.421,412,rubber,0.9,6.589,1,
4.3,1.5,0.1,35.52,0.395,178,paint,0.6,6.4,1,
4.3,1.5,0.30000000000000004,35.729,0.37,142,paint,0.6,6.6423,1,
4.3,1.5,0.5,36.032,0.383,146,paint,0.6,6.9936,1,
4.3,1.5,0.7000000000000001,36.547,0.361,231,paint,0.6,7.5907,1,
4.3,1.5,0.9,36.848,0.264,29,paint,0.6,7.9397,1,
4.5,-0.7000000000000001,-0.30000000000000004,34.964,0.312,185,rubber,0.9,5.7554,1,
4.5,-0.7000000000000001,-0.1,35.078,0.396,931,painted_metal,0.65,5.8875,1,
4.5,-0.7000000000000001,0.1,34.885,0.362,350,painted_metal,0.65,5.6638,1,
4.5,-0.7000000000000001,0.30000000000000004,35.279,0.444,257,painted_metal,0.65,6.1206,1,
4.5,-0.7000000000000001,0.5,35.585,0.458,255,painted_metal,0.65,6.4754,1,
4.5,-0.7000000000000001,0.7000000000000001,35.823,0.499,320,painted_metal,0.65,6.7513,1,
4.5,-0.5,-0.30000000000000004,35.118,0.256,162,rubber,0.9,5.9339,1,
4.5,-0.30000000000000004,-0.30000000000000004,34.884,0.398,131,rubber,0.9,5.6626,1,
4.5,-0.1,-0.30000000000000004,35.549,0.428,143,rubber,0.9,6.4336,1,
4.5,0.1,-0.30000000000000004,35.764,0.276,160,rubber,0.9,6.6829,1,
4.5,0.30000000000000004,-0.30000000000000004,35.257,0.388,166,rubber,0.9,6.0951,1,
4.5,0.5,-0.30000000000000004,34.91,0.233,177,rubber,0.9,5.6928,1,
4.5,0.7000000000000001,-0.30000000000000004,35.077,0.279,194,rubber,0.9,5.8864,1,
4.5,0.9,-0.30000000000000004,35.168,0.322,148,rubber,0.9,5.9919,1,
4.5,1.1,-0.30000000000000004,35.236,0.354,133,rubber,0.9,6.0707,1,
4.5,1.1,-0.1,35.237,0.0,1,rubber,0.9,6.0719,1,
4.5,1.3,-0.30000000000000004,35.323,0.322,118,rubber,0.9,6.1716,1,
4.5,1.3,-0.1,36.082,0.013,2,rubber,0.9,7.0516,1,
4.5,1.5,-0.30000000000000004,35.615,0.225,21,rubber,0.9,6.5101,1,
4.5,1.5,-0.1,35.695,0.421,496,rubber,0.9,6.6029,1,
4.5,1.5,0.1,35.638,0.291,218,paint,0.6,6.5368,1,
4.5,1.5,0.30000000000000004,35.803,0.296,161,paint,0.6,6.7281,1,
4.5,1.5,0.5,36.131,0.302,148,paint,0.6,7.1084,1,
4.5,1.5,0.7000000000000001,36.592,0.303,215,paint,0.6,7.6429,1,
4.5,1.5,0.9,36.722,0.23,51,paint,0.6,7.7936,1,
4.7,-0.7000000000000001,-0.30000000000000004,35.099,0.299,186,rubber,0.9,5.9119,1,
4.7,-0.7000000000000001,-0.1,35.165,0.422,961,painted_metal,0.65,5.9884,1,
4.7,-0.7000000000000001,0.1,35.04,0.394,422,painted_metal,0.65,5.8435,1,
4.7,-0.7000000000000001,0.30000000000000004,35.399,0.468,298,painted_metal,0.65,6.2597,1,
4.7,-0.7000000000000001,0.5,35.749,0.486,298,painted_metal,0.65,6.6655,1,
4.7,-0.7000000000000001,0.7000000000000001,35.87,0.5,377,painted_metal,0.65,6.8058,1,
4.7,-0.7000000000000001,0.9,36.235,0.315,11,painted_metal,0.65,7.229,1,
4.7,-0.5,-0.30000000000000004,35.175,0.162,140,rubber,0.9,6.0,1,
4.7,-0.30000000000000004,-0.30000000000000004,34.844,0.245,152,rubber,0.9,5.6162,1,
4.7,-0.1,-0.30000000000000004,35.59,0.464,169,rubber,0.9,6.4812,1,
4.7,0.1,-0.30000000000000004,35.868,0.265,166,rubber,0.9,6.8035,1,
4.7,0.30000000000000004,-0.30000000000000004,35.421,0.394,150,rubber,0.9,6.2852,1,
4.7,0.5,-0.30000000000000004,34.936,0.255,145,rubber,0.9,5.7229,1,
4.7,0.7000000000000001,-0.30000000000000004,35.12,0.289,115,rubber,0.9,5.9362,1,
4.7,0.9,-0.30000000000000004,35.211,0.307,109,rubber,0.9,6.0417,1,
4.7,1.1,-0.30000000000000004,35.183,0.307,155,rubber,0.9,6.0093,1,
4.7,1.3,-0.30000000000000004,35.27,0.349,147,rubber,0.9,6.1101,1,
4.7,1.5,-0.30000000000000004,35.361,0.235,41,rubber,0.9,6.2157,1,
4.7,1.5,-0.1,35.736,0.418,487,rubber,0.9,6.6504,1,
4.7,1.5,0.1,35.608,0.3,224,paint,0.6,6.502,1,
4.7,1.5,0.30000000000000004,35.762,0.282,160,paint,0.6,6.6806,1,
4.7,1.5,0.5,36.136,0.279,151,paint,0.6,7.1142,1,
4.7,1.5,0.7000000000000001,36.55,0.294,215,paint,0.6,7.5942,1,
4.7,1.5,0.9,36.764,0.254,75,paint,0.6,7.8423,1,
4.9,-0.7000000000000001,-0.30000000000000004,35.243,0.39,189,rubber,0.9,6.0788,1,
4.9,-0.7000000000000001,-0.1,35.209,0.427,894,painted_metal,0.65,6.0394,1,
4.9,-0.7000000000000001,0.1,35.049,0.401,383,painted_metal,0.65,5.8539,1,
4.9,-0.7000000000000001,0.30000000000000004,35.421,0.46,283,painted_metal,0.65,6.2852,1,
4.9,-0.7000000000000001,0.5,35.795,0.473,262,painted_metal,0.65,6.7188,1,
4.9,-0.7000000000000001,0.7000000000000001,35.824,0.516,349,painted_metal,0.65,6.7525,1,
4.9,-0.7000000000000001,0.9,36.212,0.442,28,painted_metal,0.65,7.2023,1,
4.9,-0.5,-0.30000000000000004,35.194,0.231,124,rubber,0.9,6.022,1,
4.9,-0.30000000000000004,-0.30000000000000004,34.847,0.285,130,rubber,0.9,5.6197,1,
4.9,-0.1,-0.30000000000000004,35.677,0.404,123,rubber,0.9,6.582,1,
4.9,0.1,-0.30000000000000004,35.94,0.221,103,rubber,0.9,6.887,1,
4.9,0.30000000000000004,-0.30000000000000004,35.56,0.403,101,rubber,0.9,6.4464,1,
4.9,0.5,-0.30000000000000004,34.983,0.207,117,rubber,0.9,5.7774,1,
4.9,0.7000000000000001,-0.30000000000000004,35.073,0.28,109,rubber,0.9,5.8817,1,
4.9,0.9,-0.30000000000000004,35.164,0.288,124,rubber,0.9,5.9872,1,
4.9,1.1,-0.30000000000000004,35.273,0.374,186,rubber,0.9,6.1136,1,
4.9,1.3,-0.30000000000000004,35.269,0.277,165,rubber,0.9,6.109,1,
4.9,1.3,-0.1,36.06,0.05,3,rubber,0.9,7.0261,1,
4.9,1.5,-0.30000000000000004,35.249,0.292,87,rubber,0.9,6.0858,1,
4.9,1.5,-0.1,35.584,0.443,708,rubber,0.9,6.4742,1,
4.9,1.5,0.1,35.47,0.348,317,paint,0.6,6.342,1,
4.9,1.5,0.30000000000000004,35.644,0.341,225,paint,0.6,6.5438,1,
4.9,1.5,0.5,35.921,0.401,236,paint,0.6,6.8649,1,
4.9,1.5,0.7000000000000001,36.248,0.42,360,paint,0.6,7.2441,1,
4.9,1.5,0.9,36.514,0.385,143,paint,0.6,7.5525,1,
5.1000000000000005,-0.7000000000000001,-0.30000000000000004,35.339,0.442,213,rubber,0.9,6.1901,1,
5.1000000000000005,-0.7000000000000001,-0.1,35.352,0.448,817,painted_metal,0.65,6.2052,1,
5.1000000000000005,-0.7000000000000001,0.1,35.121,0.425,347,painted_metal,0.65,5.9374,1,
5.1000000000000005,-0.7000000000000001,0.30000000000000004,35.491,0.473,252,painted_metal,0.65,6.3664,1,
5.1000000000000005,-0.7000000000000001,0.5,35.892,0.508,251,painted_metal,0.65,6.8313,1,
5.1000000000000005,-0.7000000000000001,0.7000000000000001,35.911,0.535,312,painted_metal,0.65,6.8533,1,
5.1000000000000005,-0.7000000000000001,0.9,35.97,0.5,69,painted_metal,0.65,6.9217,1,
5.1000000000000005,-0.5,-0.30000000000000004,35.241,0.281,167,rubber,0.9,6.0765,1,
5.1000000000000005,-0.30000000000000004,-0.30000000000000004,34.935,0.442,137,rubber,0.9,5.7217,1,
5.1000000000000005,-0.1,-0.30000000000000004,35.784,0.507,120,rubber,0.9,6.7061,1,
5.1000000000000005,0.1,-0.30000000000000004,36.03,0.289,112,rubber,0.9,6.9913,1,
5.1000000000000005,0.30000000000000004,-0.30000000000000004,35.613,0.415,104,rubber,0.9,6.5078,1,
5.1000000000000005,0.5,-0.30000000000000004,34.935,0.22,90,rubber,0.9,5.7217,1,
5.1000000000000005,0.7000000000000001,-0.30000000000000004,35.077,0.274,143,rubber,0.9,5.8864,1,
5.1000000000000005,0.9,-0.30000000000000004,35.277,0.35,203,rubber,0.9,6.1183,1,
5.1000000000000005,1.1,-0.30000000000000004,35.315,0.371,157,rubber,0.9,6.1623,1,
5.1000000000000005,1.3,-0.30000000000000004,35.234,0.4,122,rubber,0.9,6.0684,1,
5.1000000000000005,1.5,-0.30000000000000004,35.186,0.302,145,rubber,0.9,6.0128,1,
5.1000000000000005,1.5,-0.1,35.421,0.427,975,rubber,0.9,6.2852,1,
5.1000000000000005,1.5,0.1,35.375,0.348,441,paint,0.6,6.2319,1,
5.1000000000000005,1.5,0.30000000000000004,35.527,0.366,307,paint,0.6,6.4081,1,
5.1000000000000005,1.5,0.5,35.82,0.419,302,paint,0.6,6.7478,1,
5.1000000000000005,1.5,0.7000000000000001,36.125,0.422,384,paint,0.6,7.1014,1,
5.1000000000000005,1.5,0.9,36.422,0.385,228,paint,0.6,7.4458,1,
5.300000000000001,-0.7000000000000001,-0.30000000000000004,35.253,0.398,249,rubber,0.9,6.0904,1,
5.300000000000001,-0.7000000000000001,-0.1,35.343,0.458,840,painted_metal,0.65,6.1948,1,
5.300000000000001,-0.7000000000000001,0.1,35.115,0.402,354,painted_metal,0.65,5.9304,1,
5.300000000000001,-0.7000000000000001,0.30000000000000004,35.496,0.467,266,painted_metal,0.65,6.3722,1,
5.300000000000001,-0.7000000000000001,0.5,35.883,0.49,235,painted_metal,0.65,6.8209,1,
5.300000000000001,-0.7000000000000001,0.7000000000000001,35.883,0.499,313,painted_metal,0.65,6.8209,1,
5.300000000000001,-0.7000000000000001,0.9,35.972,0.485,96,painted_metal,0.65,6.9241,1,
5.300000000000001,-0.5,-0.30000000000000004,35.222,0.248,159,rubber,0.9,6.0545,1,
5.300000000000001,-0.30000000000000004,-0.30000000000000004,35.069,0.474,146,rubber,0.9,5.8771,1,
5.300000000000001,-0.1,-0.30000000000000004,35.777,0.522,148,rubber,0.9,6.698,1,
5.300000000000001,0.1,-0.30000000000000004,36.032,0.34,162,rubber,0.9,6.9936,1,
5.300000000000001,0.30000000000000004,-0.30000000000000004,35.696,0.436,160,rubber,0.9,6.6041,1,
5.300000000000001,0.5,-0.30000000000000004,34.999,0.283,167,rubber,0.9,5.7959,1,
5.300000000000001,0.7000000000000001,-0.30000000000000004,35.097,0.355,153,rubber,0.9,5.9096,1,
5.300000000000001,0.9,-0.30000000000000004,35.239,0.359,154,rubber,0.9,6.0742,1,
5.300000000000001,0.9,-0.1,35.424,0.0,1,rubber,0.9,6.2887,1,
