sample_idx,zed_file,zed_epoch,posetum_row_idx,posetum_epoch,posetum_delta_s,cloud_ordinal,cloud_delta_s,n_points_exported
0,right_000000.png,1785426647.858766,0,1785426643.9038892,-3.9548768997192383,20,0.04634356498718262,2087
1,right_000010.png,1785426651.635766,0,1785426643.9038892,-7.731876850128174,39,0.0646367073059082,2044
2,right_000020.png,1785426655.616766,0,1785426643.9038892,-11.712876796722412,59,0.08490633964538574,2074
3,right_000030.png,1785426659.630766,0,1785426643.9038892,-15.726876735687256,79,0.07382321357727051,2066
4,right_000040.png,1785426663.6117659,1,1785426675.5031905,11.891424655914307,99,0.09346652030944824,2331
5,right_000050.png,1785426667.658766,1,1785426675.5031905,7.844424486160278,119,0.039457082748413086,2989
6,right_000060.png,1785426671.605766,1,1785426675.5031905,3.8974244594573975,139,0.09850049018859863,2749
7,right_000070.png,1785426675.620766,1,1785426675.5031905,-0.11757540702819824,159,0.0846257209777832,2797
8,right_000080.png,1785426679.6347659,2,1785426679.1041918,-0.5305740833282471,179,0.0666811466217041,2729
9,right_000090.png,1785426683.614766,4,1785426684.7051547,1.0903887748718262,199,0.08874678611755371,2918
10,right_000100.png,1785426687.628766,5,1785426689.1046867,1.4759206771850586,219,0.07642912864685059,2577
11,right_000110.png,1785426691.609766,6,1785426691.9014373,0.2916712760925293,239,0.08878660202026367,2316
12,right_000120.png,1785426695.623766,8,1785426696.5053234,0.8815574645996094,259,0.07601809501647949,2469
13,right_000130.png,1785426699.605766,9,1785426699.1031506,-0.5026154518127441,279,0.096099853515625,2870
14,right_000140.png,1785426703.618766,11,1785426703.905301,0.28653502464294434,299,0.08421850204467773,2349
15,right_000150.png,1785426707.632766,13,1785426708.9015028,1.2687368392944336,319,0.07165908813476562,2678
16,right_000160.png,1785426711.612766,14,1785426713.906123,2.2933568954467773,339,0.08597135543823242,2354
17,right_000170.png,1785426715.627766,15,1785426716.705327,1.0775611400604248,359,0.07238388061523438,2545
18,right_000180.png,1785426719.607766,16,1785426719.5002925,-0.10747337341308594,379,0.09383773803710938,2685
19,right_000190.png,1785426723.6217659,18,1785426722.902702,-0.7190637588500977,399,0.0827176570892334,2886
20,right_000200.png,1785426727.635766,20,1785426729.7016575,2.0658915042877197,419,0.06999397277832031,2564
21,right_000210.png,1785426731.617766,21,1785426731.9006643,0.2828984260559082,439,0.08746647834777832,2949
22,right_000220.png,1785426735.630766,22,1785426733.103953,-2.52681303024292,459,0.07430768013000488,2126
23,right_000230.png,1785426739.6117659,23,1785426739.1019638,-0.5098021030426025,479,0.08964180946350098,2283
24,right_000240.png,1785426743.658766,25,1785426743.9030993,0.24433326721191406,499,0.04301810264587402,2258
25,right_000250.png,1785426747.605766,27,1785426748.3055012,0.699735164642334,519,0.09752655029296875,2272
26,right_000260.png,1785426751.620766,29,1785426752.3026462,0.6818802356719971,539,0.08378791809082031,2326
27,right_000270.png,1785426755.633766,31,1785426756.5050912,0.8713252544403076,559,0.07167911529541016,2814
28,right_000280.png,1785426759.614766,32,1785426758.7050915,-0.9096744060516357,579,0.08440470695495605,2764
29,right_000290.png,1785426763.628766,32,1785426758.7050915,-4.923674583435059,599,0.07317733764648438,2840
30,right_000300.png,1785426767.609766,33,1785426769.1047373,1.4949712753295898,619,0.09283971786499023,2912
31,right_000310.png,1785426771.623766,34,1785426772.1000326,0.47626662254333496,639,0.07982277870178223,2860
