frame_idx,video_epoch,cloud_ordinal,cloud_delta_s,n_points_exported
0,1785426647.603766,19,0.09983968734741211,2106
3,1785426647.7037659,19,-0.00016021728515625,2106
6,1785426647.803766,19,-0.10016036033630371,2106
9,1785426647.903766,20,0.0013437271118164062,2087
12,1785426648.003766,20,-0.09865641593933105,2087
15,1785426648.103766,21,-0.000415802001953125,2057
18,1785426648.2037659,21,-0.10041570663452148,2057
21,1785426648.303766,22,0.0007045269012451172,2058
24,1785426648.403766,23,0.09543466567993164,2996
27,1785426648.503766,23,-0.00456547737121582,2996
30,1785426648.603766,24,0.09745335578918457,2073
33,1785426648.7037659,24,-0.002546548843383789,2073
36,1785426648.803766,25,0.09984731674194336,2079
39,1785426648.903766,25,-0.000152587890625,2079
42,1785426649.003766,25,-0.10015273094177246,2079
45,1785426649.103766,26,0.0009343624114990234,2019
48,1785426649.2037659,27,0.09642338752746582,2064
51,1785426649.303766,27,-0.0035767555236816406,2064
54,1785426649.403766,28,0.09781265258789062,2064
57,1785426649.503766,28,-0.002187490463256836,2064
60,1785426649.603766,29,0.10070967674255371,2071
63,1785426649.7037659,29,0.0007097721099853516,2071
66,1785426649.803766,29,-0.09929037094116211,2071
69,1785426649.903766,30,0.001256704330444336,2017
72,1785426650.003766,31,0.09646916389465332,2064
75,1785426650.103766,31,-0.003530740737915039,2064
78,1785426650.2037659,32,0.09781670570373535,2067
81,1785426650.303766,32,-0.0021834373474121094,2067
84,1785426650.403766,33,0.10080671310424805,2056
87,1785426650.503766,33,0.0008065700531005859,2056
90,1785426650.603766,33,-0.09919333457946777,2056
93,1785426650.7037659,34,0.0013866424560546875,2061
96,1785426650.803766,34,-0.09861350059509277,2061
99,1785426650.903766,35,0.0005784034729003906,2054
102,1785426651.003766,35,-0.09942173957824707,2054
105,1785426651.103766,36,0.0013227462768554688,2054
108,1785426651.2037659,36,-0.09867715835571289,2054
111,1785426651.303766,37,0.0011055469512939453,2085
114,1785426651.403766,37,-0.09889435768127441,2085
117,1785426651.503766,38,0.0013539791107177734,2070
120,1785426651.603766,39,0.09663677215576172,2044
123,1785426651.7037659,39,-0.0033631324768066406,2044
126,1785426651.803766,40,0.09948015213012695,2065
129,1785426651.903766,40,-0.0005197525024414062,2065
132,1785426652.003766,40,-0.10051989555358887,2065
135,1785426652.103766,41,0.0013408660888671875,2052
138,1785426652.2037659,42,0.09463119506835938,2052
141,1785426652.303766,42,-0.005368947982788086,2052
144,1785426652.403766,43,0.09700131416320801,2076
147,1785426652.503766,43,-0.002998828887939453,2076
150,1785426652.603766,44,0.09891676902770996,2073
153,1785426652.7037659,44,-0.0010831356048583984,2073
156,1785426652.803766,44,-0.10108327865600586,2073
159,1785426652.903766,45,0.0013892650604248047,2058
162,1785426653.003766,46,0.09540247917175293,2003
